ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,RRHSubType,ResidentialAffiliation,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"729","6","zzFayette - CAC of Fayette County - Youth Targeted RRH","",2020-01-01,2021-12-31,1,13,3,2,,4,2,,2021-06-01 00:00:00,2022-02-18 13:25:58,"227",,"42412"
"785","6","Fayette - CAC of Fayette County - Peace House - TH","",2020-06-01,,1,2,1,,,1,2,,2021-06-01 00:00:00,2024-08-08 16:03:26,"227",,"42412"
"858","6","zzFayette - CAC of Fayette County - ESG-CV HP","",2020-06-23,2023-07-28,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-30 14:08:23,"227",,"42412"
"861","6","zzFayette - CAC of Fayette County - ESG-CV RRH","",2020-10-01,2022-09-02,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-30 11:46:35,"227",,"42412"
"881","6","zzHighland - CAC of Fayette County - ESG-CV RRH","",2020-10-01,2022-07-11,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-30 11:50:53,"227",,"42412"
"998","6","Fayette - CAC of Fayette County - ODH TAY - RRH","",2020-02-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-01-05 10:04:19,"424",,"42412"
"1011","6","Fayette - CAC of Fayette County - Empowerment Center - RRH","",2020-12-01,,1,13,3,2,,1,2,,2021-06-01 00:00:00,2024-08-08 16:00:55,"227",,"42412"
"1166","6","Highland - CAC of Fayette County - HCRP RRH","",2012-12-28,,1,13,3,2,,4,2,,2022-10-05 14:55:35,2023-10-01 11:51:38,"30",,"42412"
"1234","6","Fayette - CAC of Fayette County - Rural Street Outreach","",2024-01-01,,1,4,,,,4,2,,2024-03-04 13:55:05,2024-05-01 18:04:57,"227",,"42412"
"1235","6","Fayette - CAC of Fayette County - Rural Services Only","",2024-01-01,,1,6,,,0,4,2,,2024-03-04 14:09:11,2024-05-01 18:03:45,"227",,"42412"
"78","7","Licking - LCCH - TH","",2005-06-29,,1,2,2,,,4,2,,2021-06-01 00:00:00,2024-10-22 14:18:54,"27",,"42412"
"129","7","Licking - LCCH - RROhio - RRH","",2009-10-30,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-10-22 14:18:19,"27",,"42412"
"203","7","Licking - LCCH - HCRP RRH","",2020-01-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-11-11 14:00:36,"424",,"42412"
"204","7","Licking - LCCH - HCRP HP","",2007-12-14,,1,12,,,,4,2,,2021-06-01 00:00:00,2024-10-22 14:00:06,"27",,"42412"
"315","7","Licking - LCCH - SSVF RRH","",2013-10-25,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-10-22 14:18:42,"27",,"42412"
"356","7","Licking - Licking County Coalition for Housing - SSVF HP","",2013-11-15,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:23:58,"227",,"42412"
"520","7","Licking - LCCH - RRH Reallocation - RRH","",2017-07-10,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-10-22 14:16:34,"27",,"42412"
"718","7","Licking - Licking County Coalition for Housing - Region 9 RRH","",2019-12-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 16:26:49,"424",,"42412"
"737","7","zzLicking - Licking County Coalition for Housing - Targeted RRH","",2020-01-01,2022-09-30,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-29 15:57:34,"424",,"42412"
"757","7","zzLicking - Licking County Coalition for Housing - OHFA ERA - not homeless dedicated","",2020-05-01,2022-09-30,0,7,,,,4,2,,2021-06-01 00:00:00,2024-06-26 14:29:21,"27",,"42412"
"759","7","zzLicking - Licking County Coalition for Housing - ES Overflow","",2020-05-01,2022-09-30,1,0,3,,,4,2,,2021-06-01 00:00:00,2023-12-04 14:43:29,"424",,"42412"
"809","7","zzLicking - Licking County Coalition for Housing - ESG-CV RRH","",2020-10-01,2023-03-07,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-08 16:45:39,"227",,"42412"
"810","7","zzLicking - Licking County Coalition for Housing - ESG-CV HP","",2020-07-15,2023-02-28,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-08 16:50:37,"227",,"42412"
"924","7","zzLicking - Licking County Coalition for Housing - TANF HP","",2020-11-01,2022-06-30,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-30 09:45:19,"424",,"42412"
"925","7","zzLicking - Licking County Coalition for Housing - TANF RRH","",2020-11-01,2022-06-30,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-30 09:46:13,"424",,"42412"
"1200","7","Licking - LCCH - GPD","",2023-10-01,,1,2,2,,,4,2,,2023-11-16 15:51:54,2024-10-22 14:01:47,"27",,"42412"
"1201","7","Licking - LCCH - PSH","",2024-01-01,,1,3,3,,,4,2,,2023-11-16 16:38:03,2024-10-22 14:02:06,"27",,"42412"
"1252","7","Licking - LCCH - DV Housing - RRH - DV","",2024-01-01,,1,13,3,2,,1,2,,2024-08-15 17:00:20,2024-10-22 13:59:30,"27",,"42412"
"1253","7","Licking - LCCH - DV Housing - TH - DV","",2024-01-01,,1,2,3,,,1,2,,2024-08-15 17:15:20,2024-10-22 13:59:48,"27",,"42412"
"431","8","Butler - Transitional Living, Inc. - PATH Street Outreach","",2014-12-19,,1,4,,,,4,2,,2021-06-01 00:00:00,2023-10-01 10:47:42,"27",,"42412"
"432","8","Butler - Transitional Living, Inc. - PATH Services Only","",2014-12-19,,1,6,,,0,4,2,,2021-06-01 00:00:00,2023-10-01 11:28:07,"227",,"42412"
"1203","8","Clinton - Transitional Living - SUD Street Outreach","",2020-09-01,,1,4,,,,4,2,,2023-11-30 12:24:05,2024-05-01 17:15:57,"227",,"42412"
"1225","8","Clinton - Transitional Living - SUD Services Only","",2023-01-01,,1,6,,,0,4,2,,2024-02-27 10:11:35,2024-05-01 17:15:40,"227",,"42412"
"2","9","Sandusky - GLCAP - Homenet Permanent Housing - PSH","Sandusky GLCAP Homenet PSH",2003-11-20,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:23:18,"605",,"42412"
"183","9","Sandusky - GLCAP - HCRP RRH","",2012-12-13,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-03-13 11:38:48,"227",,"42412"
"231","9","Sandusky - GLCAP - HCRP HP","",2012-12-27,,1,12,,,,4,2,,2021-06-01 00:00:00,2024-03-13 11:37:50,"227",,"42412"
"308","9","Sandusky - GLCAP - Permanent Supportive Housing - PSH - DV","Sandusky Permanent Supportive Housing - DV",2013-06-25,,1,3,3,,,4,2,,2021-06-01 00:00:00,2024-01-05 15:24:35,"424",,"42412"
"313","9","Sandusky - GLCAP - SSVF RRH","",2013-10-25,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-08 14:07:50,"424",,"42412"
"352","9","Sandusky - GLCAP - SSVF HP","",2013-11-15,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:29:28,"227",,"42412"
"397","9","Lucas - GLCAP - SSVF RRH","",2013-11-27,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-02-05 14:53:43,"27",,"42412"
"398","9","Lucas - GLCAP - SSVF HP","",2013-11-27,,1,12,,,,4,2,,2021-06-01 00:00:00,2024-02-05 14:54:07,"27",,"42412"
"552","9","Sandusky - GLCAP - HUD RRH","",2018-10-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 16:38:24,"424",,"42412"
"717","9","Sandusky - GLCAP - Day One - HP","",2020-01-01,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:30:44,"227",,"42412"
"783","9","zzGLCAP - OHFA ERA - not homeless dedicated","",2020-04-02,2022-09-30,0,7,,,,4,2,,2021-06-01 00:00:00,2024-04-02 02:12:00,"30",,"42412"
"816","9","zzSandusky - GLCAP - CSBG ERA - not homeless dedicated","",2020-08-04,2022-09-30,0,7,,,,4,2,,2021-06-01 00:00:00,2024-04-02 02:30:41,"30",,"42412"
"832","9","zzSandusky - GLCAP - ESG-CV HP","",2020-09-01,2023-04-10,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-01 11:42:55,"27",,"42412"
"868","9","zzSandusky - GLCAP - Housing Now for Homeless Families - TANF RRH","",2020-10-01,2022-06-30,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-30 10:16:15,"424",,"42412"
"869","9","zzSandusky - GLCAP - Housing Now for Homeless Families - TANF HP","",2020-09-01,2022-06-30,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-30 10:15:31,"424",,"42412"
"1193","9","Sandusky - GLCAP - Day One - RRH","",2020-01-01,,1,13,3,2,,4,2,,2023-08-03 15:43:56,2024-04-24 16:37:35,"424",,"42412"
"13","10","zzWarren - Warren MHA - Transitions - TH","Warren Transitions",2004-09-09,2022-06-30,1,2,3,,,4,2,,2021-06-01 00:00:00,2023-02-02 14:40:51,"30",,"42412"
"64","10","Warren - Warren MHA - Shelter Plus Care - PSH","Warren Shelter Plus Care",2005-05-09,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:25:09,"605",,"42412"
"228","10","Warren - Warren MHA - HCRP HP","",2012-12-27,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:33:20,"227",,"42412"
"550","10","Warren - Warren MHA - HCRP RRH","",2013-01-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 16:09:06,"424",,"42412"
"856","10","zzWarren - Warren MHA - ESG-CV RRH","",2020-10-01,2023-04-20,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-10 13:43:06,"227",,"42412"
"857","10","zzWarren - Warren MHA - ESG-CV HP","",2020-06-23,2022-11-03,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-10 13:44:17,"227",,"42412"
"1147","10","Warren - Warren MHA - Bridges - RRH","",2022-07-01,,1,13,3,2,,4,0,,2022-06-10 11:48:40,2024-04-08 14:04:35,"424",,"42412"
"1249","10","Butler - Warren MHA - HCRP RRH","",2024-07-01,,1,13,3,2,,4,2,,2024-06-27 16:35:33,2024-07-01 09:45:42,"227",,"42412"
"1250","10","Butler - Warren MHA - HCRP HP","",2024-07-01,,1,12,,,,4,2,,2024-06-27 16:51:09,2024-07-01 09:43:21,"227",,"42412"
"27","11","Defiance - Northwestern Ohio CAC - Richland Place - PH","",2004-11-08,,1,9,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 15:48:20,"605",,"42412"
"28","11","Defiance - Northwestern Ohio CAC - The PATH Center - ES","Defiance The PATH Center",2004-11-08,,1,0,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 16:05:48,"605",,"42412"
"229","11","Defiance - Northwestern Ohio CAC - HCRP RRH","",2012-12-27,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 15:57:01,"424",,"42412"
"230","11","Defiance - Northwestern Ohio CAC - HCRP HP","",2012-12-27,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:34:26,"227",,"42412"
"510","11","Defiance - Northwestern Ohio CAC - PSH","Defiance NOCAC - Permanent Supportive Housing",2017-11-01,,1,3,3,,,4,2,,2021-06-01 00:00:00,2024-04-08 14:13:23,"424",,"42412"
"600","11","Van Wert- Northwestern Ohio CAC - ES Overflow","",2018-10-01,,1,0,2,,,4,2,,2021-06-01 00:00:00,2023-10-09 13:19:12,"227",,"42412"
"747","11","zzDefiance - Northwestern Ohio CAC - The PATH Center - ES Overflow","",2020-04-01,2023-09-30,1,0,3,,,4,2,,2021-06-01 00:00:00,2024-04-23 15:41:58,"424",,"42412"
"878","11","zzDefiance - Northwestern Ohio CAC - ESG-CV HP","",2020-07-01,2022-03-31,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-08 17:53:43,"227",,"42412"
"879","11","zzDefiance - Northwestern Ohio CAC - ESG-CV RRH","",2020-10-01,2023-04-26,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-08 18:01:24,"227",,"42412"
"888","11","zzDefiance - Northwestern Ohio CAC - Targeted RRH","",2020-10-01,2022-01-31,1,13,3,2,,4,2,,2021-06-01 00:00:00,2022-03-23 15:58:06,"227",,"42412"
"926","11","zzDefiance - Northwestern Ohio CAC - TANF RRH","",2020-10-01,2022-09-30,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-12-05 08:53:12,"424",,"42412"
"969","11","zzDefiance - Northwestern Ohio CAC - TANF HP","",2020-09-08,2022-06-30,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-30 09:43:03,"424",,"42412"
"1140","11","zzDefiance - Northwestern Ohio CAC - Region 1 CAA HRG - ES Overflow","",2021-09-01,2022-09-01,1,0,3,,,4,0,,2022-03-24 10:08:32,2023-09-11 11:32:24,"227",,"42412"
"185","12","Ashland - Appleseed CMHC - HCRP RRH","Ashland Appleseed CMHC - HCRP RRH",2012-12-14,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-08 13:56:10,"424",,"42412"
"250","12","Ashland - Appleseed CMHC - HCRP HP","",2012-12-28,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:36:16,"227",,"42412"
"325","12","Ashland - Appleseed Community Mental Health Center - Safe Haven DV Shelter - ES - DV","Ashland Safe Haven Domestic Violence Shelter",2013-11-13,,1,0,1,,,1,2,,2021-06-01 00:00:00,2023-10-09 13:20:03,"227",,"42412"
"417","12","Ashland - Appleseed CMHC - Beginning Anew - PSH","Ashland Beginning Anew",2014-06-05,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:28:32,"605",,"42412"
"470","12","Ashland - Appleseed Rapid Rehousing - RRH","Ashland Appleseed RRH",2012-12-14,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 16:58:29,"424",,"42412"
"760","12","zzAshland - Appleseed CMHC - OHFA ERA - not homeless dedicated","",2020-04-15,2022-09-30,0,7,,,,4,2,,2021-06-01 00:00:00,2024-06-26 14:34:39,"27",,"42412"
"827","12","zzAshland - Appleseed CMHC - ESG-CV RRH","",2020-10-01,2023-01-12,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-23 09:36:32,"27",,"42412"
"828","12","zzAshland - Appleseed CMHC - ESG-CV HP","",2020-08-17,2022-09-29,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-23 09:36:16,"27",,"42412"
"995","12","Ashland - Appleseed CMHC - ES Overflow","",2021-01-01,,1,0,3,,,4,2,,2021-06-01 00:00:00,2023-10-09 13:20:23,"227",,"42412"
"1217","12","Ashland - Appleseed CMHC - Appleseed Supportive Housing Program - PSH - DV","",2024-01-01,,1,3,1,,,1,2,,2024-02-06 11:19:50,2024-02-06 12:08:17,"28",,"42412"
"20","13","Columbiana - Columbiana County Community Action Agency - ES","Columbiana Emergency Shelter",2004-09-29,,1,0,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 16:07:22,"605",,"42412"
"191","13","Columbiana - Community Action Agency of Columbiana - HCRP RRH","Columbiana CAA of Columbiana HCRP RRH",2012-12-14,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-08 13:41:15,"424",,"42412"
"192","13","Columbiana - Community Action Agency of Columbiana - HCRP HP","",2012-12-14,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:38:41,"227",,"42412"
"317","13","Columbiana - Community Action Agency of Columbiana - BoS - SSVF RRH","Columbiana CAA of Columbiana - BoS - SSVF RRH",2013-10-28,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 16:50:46,"424",,"42412"
"353","13","Columbiana - Community Action Agency of Columbiana - BoS - SSVF HP","",2013-11-15,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:39:07,"227",,"42412"
"408","13","Mahoning - Community Action Agency of Columbiana - SSVF HP","",2014-04-29,,1,12,,,,4,2,,2021-06-01 00:00:00,2024-06-05 10:45:51,"227",,"42412"
"409","13","Mahoning - Community Action Agency of Columbiana - SSVF RRH","Mahoning - Columbiana CAA SSVF RRH",2014-10-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-06-05 10:45:05,"227",,"42412"
"704","13","zzColumbiana - Community Action Agency of Columbiana - Targeted RRH","",2019-01-01,2023-02-28,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-05 09:40:29,"227",,"42412"
"864","13","zzColumbiana - Community Action Agency of Columbiana - ESG-CV HP","",2020-06-23,2022-10-03,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-26 12:56:02,"227",,"42412"
"865","13","zzColumbiana - Community Action Agency of Columbiana - ESG-CV RRH","",2020-10-01,2022-04-04,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-26 12:58:56,"227",,"42412"
"872","13","zzCarroll - Community Action Agency of Columbiana - Targeted RRH","",2020-10-01,2022-09-30,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-29 16:13:29,"424",,"42412"
"873","13","Carroll - Community Action Agency of Columbiana - HCRP RRH","",2020-10-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-01 12:12:34,"30",,"42412"
"874","13","Carroll - Community Action Agency of Columbiana - HCRP HP","",2020-07-01,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:42:24,"227",,"42412"
"889","13","zzColumbiana - Community Action Agency of Columbiana - TANF HP","",2020-09-08,2022-06-30,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-30 11:20:36,"227",,"42412"
"890","13","zzColumbiana - Community Action Agency of Columbiana - TANF RRH","",2020-10-01,2022-06-30,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-11-30 10:14:17,"424",,"42412"
"977","13","Columbiana - Community Action Agency of Columbiana - YHDP SSO","",2021-01-01,,1,6,,,0,4,2,,2021-06-01 00:00:00,2023-10-01 11:37:46,"227",,"42412"
"978","13","Columbiana - Community Action Agency of Columbiana - YHDP TH","",2021-01-01,,1,2,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:22:21,"30",,"42412"
"979","13","Columbiana - Community Action Agency of Columbiana - YHDP RRH","",2021-01-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-08 14:12:09,"424",,"42412"
"985","13","Columbiana - Community Action Agency of Columbiana - ODH Youth RRH","CAA of Columbiana ODH Youth Initiative RRH",2021-01-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 16:52:55,"424",,"42412"
"988","13","Columbiana - Community Action Agency of Columbiana - ODH Youth HP","CAA of Columbiana ODH Youth Initiative HP",2021-01-01,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:45:31,"227",,"42412"
"1137","13","Columbiana - Community Action Agency of Columbiana - ODH Youth SSO","",2022-02-08,,1,6,,,0,4,0,,2022-03-07 10:54:36,2023-10-01 11:38:14,"227",,"42412"
"15","14","Union - Mental Health Recovery Board - Homeward Bound I'm Home - PSH","Union I'm Home PSH",2004-09-21,,1,3,2,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:29:21,"605",,"42412"
"137","14","Union - Mental Health Recovery Board - Union County Shelter Plus Care - PSH","Union Shelter Plus Care Union County",2010-05-01,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-12-17 22:51:12,"27",,"42412"
"16","16","Miami - Family Abuse Shelter of Miami County - Buckeye House - ES","Miami Buckeye House",2004-09-22,,1,0,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 16:08:13,"605",,"42412"
"17","16","Miami - Family Abuse Shelter of Miami County - Franklin House - ES- DV","Miami Franklin House",2004-09-22,,1,0,1,,,1,2,,2021-06-01 00:00:00,2023-10-09 13:21:34,"227",,"42412"
"219","16","Miami - Family Abuse Shelter of Miami County - HCRP RRH","Miami Family Abuse HCRP RRH",2012-12-27,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 15:55:05,"424",,"42412"
"220","16","Miami - Family Abuse Shelter of Miami County - HCRP HP","",2012-12-27,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:47:34,"227",,"42412"
